corpus;company
" Hice una compra el 13/01/21 de un smart tv y pagué el envío para el día martes 18/01/21 lo cual nunca pasó y sigo esperando. El estado del seguimiento de despacho nunca cambió y al no cumplir me deja un mensaje diciendo ""Lo sentimos, sabemos que tu compra no ha llegado aún. Continuamos gestionando tu despacho lo más rápido posible."" lo que tampoco pasa. Al llamar o contactarme tampoco dan solución, la verdad es que no se entiende que uno pague un envío si después lo hacen cuando a ellos se les ocurra.Insisto que es una vergüenza que cobren por envío y no cumplen y peor es la comunicación con ellos, no dan una solución.";Falabella
 estimadosdesde el viernes 14 que estoy esperando el retiro de mi lavadora mala que se va a reciclaje, el 4 de enero compre una lavadora nueva en falabella con servicio de reciclaje el que no cumplio, no vinieron viernes ni sabado, luego el lunes 17 ni siquiera me llamaron para avisar y programar un nuevo retiro, martes y miercoles tratando de comunicarme y recien me avisa una ejecutiva que no podran venir sino hasta el miercoles 26 de enero le explico mi situacion que debo asistir a veces a la oficina y que estos dias pedi permiso para hacer teletrabajo pero falabella no cumplio lo que me hace quedar mal ya que uno se organiza y coordina con sus jefes. le pregunto a que hora pasaran el miercoles y me dice que no lo sabe, osea yo de nuevo no podre organizar mi dia laboral teniendo que estar haciendo guardia aqui en mi dpto de 9 a 7 de la tarde.estoy muy angustiada ya que tengo el artefacto a la entrada de mi depto ya que en la loggia colocamos la lavadora nueva.les pido que por favor hagan algo se que muchas personas estan en situaciones similares por confiar en falabella por otro lado muy decepcionada de falabella pense que era una empresa seria, la verdad con esto no mas servicios de este tipo.espero puedan gestionar la solucion de mi problemamonicasantiago;Falabella
 Me llegó un correo electrónico, de descacame.clDonde me ofertan una rebaja en mi deuda con fallabela de un 78%, pero yo no reconozco esa deuda, de hecho la única vez que tuve tarjeta de esa compañía fue cuando fui universitario, y me endeude con 60,000 mil pesos. Había revisado anteriormente mi reporte comercial, no tengo deudas de hecho hace años no cotizo, sin las cuales ni siquiera estoy apto para tener tarjetas, de crédito y aparezco con una deuda de hecho son dos, también en sencosud solicito ayuda urgente.;Falabella
 El día 30 de noviembre compré ( Nº orden 371655176), con tarjeta de crédito bancaria por la pagina Falabella.com un iPhone SE 64gb, la entrega no se realizó en la fecha estipuladas ( 3 de diciembre) y el día 9 procedí anular la compra. El día 16 de diciembre me llego una nota de crédito (Nº 2936187) aún no se ha hecho la reversa después de 23 día hábiles, es mas me llego un mail el 7 de enero 2022, que el producto había sido entregado cosa que no ocurrió y no hay constancia de esa entrega. Hasta el dia de hoy no hay reversa ni producto.Esto es una burla al cliente.;Falabella
 Estimados,Realice una compra el 3 de diciembre de un refrigerador en 12 cuotas precio contado, y he llamado infinidades de veces he puesto reclamos, me cortan e indican que no tiene nada como ayudarme un desastre mallll pésimo y nada tengo la boleta que indica que es el monto y me cobran igualmente ya estoy enojada, así pondré un reclamo antes sernac.-;Falabella
" Hice la compra de un microondas con despacho a Limache la semana pasada, días después me avisaron que no lo podían enviar y que me devolverían el dinero. Volví a comprar el mismo producto pero con despacho a Maipú. Al día siguiente me avisan que tampoco lo van a despachar, pido una insistencia en el envío del producto. Y hasta ahora no me han dado ninguna respuesta. Resulta que hasta ahora tienen retenido mi dinero de ambas compras, y yo sin microondas ni nada... Es una sinvergüenzura. Me meto a la App y ahí sigue saliendo en venta el microondas que compré 2 veces, y lo promocionan con ""envío rápido"". Es una burla, por qué siguen promocionando algo que no van a enviar? Dejan que la gente siga comprando y al final no lo mandan, y retienen el dinero de uno. Tienen el peor servicio, y no es la primera vez que me pasa. Piensen que si uno compra algo es porque lo necesita, no por gusto de tirar el dinero. Exijo una pronta solución.";Falabella
 Llevamos una semana esperando un juego de living que supuestamente venía en camino desde el lunes pasado. Hemos ingresado mínimo unos 5 reclamos, hemos llamado, hemos hablado con ejecutivos y nadie da una respuesta certera. Lo peor es que no puedo salir de mi casa esperando que supuestamente lleguen los sillones. ni siquiera se da la opción de cancelar la compra, simplemente nefasto;Falabella
 Estimados,Con fecha 18/11/21 compré dos poleras mango por internet (Nro5905590038 por un monto de 54.980), las cuales fueron devueltas en tienda del Alto Las Condes el 20/11/21. De acuerdo a las políticas de devolución de dinero de Falabella, esta debía ser reintegrada en mi cuenta corriente en 15 días hábiles, lo cual hasta la fecha no se ha hecho efectivo. he llamado en reiteradas ocasiones y me señalan que la plata debería ser depositada pronto pero aún no lo hacen. Me parece una falta de respeto y poca seriedad a las reglas que ellos mismos dictan. Exijo por favor me depositen mi dinero lo antes posible en mi cuenta bancaria.Saludos y gracias,Daniela;Falabella
 Estimados Falabella,El 5 de Diciembre del 2019 compre una Barredora Eléctrica Trotter, con un valor de 64.990 clp, la vendedora me ofrece un garantía que consistía que si el producto al cabo de un tiempo finalizado lo podía cambiar por una nueva barredora, la verdad que ella insistió y me explico que era una buena oportunidad. Si, le creí ya que era muy convincente y pague la garantía por 13.960 clp, al cabo de un año tuve problemas con el producto y lo envié al servicio técnico, la recibí de vuelta y funciono un tiempo bien y luego volvió a perder potencia pero decide esperar un par de meses porque me acorde que podría cambiarla por una nuevo y poder poner un poco de dinero y comprar otra mejor.Cual la sorpresa que me lleve, me informa el joven de atención al cliente que esta garantía era solo para productos menores a valores de 60.000 clp. Yo le explico que la vendedora nunca me explico este requisito.Patricia Silva;Falabella
 Compre un proyector Nebula el 27 de noviembre por internet, (adjunto factura de compra), en Tiendas Falabella, producto que jamas fue despachado y entregado, por lo cual el mismo comercio, Tiendas Falabella, me recomendó que anulara la compra, solicitado la devolución del dinero. Me llego la nota de crédito correspondiente la cual adjunto a continuación con fecha 10 de diciembre, a los 15 dias de la fecha de esta nota de crédito se debió hacer la devolución del dinero a mi cuenta corriente, la cual nunca se realizo. Al comunicarme con Tiendas Falabella vía telefónica , solo dicen que debo esperar y que se comunicaran conmigo, lo cual nunca a pasado, ya que ellos vía teléfono no pueden hacer nada.;Falabella
 Llevo más de 2 meses esperando que falabella me devuelva la cantidad de $140000 , en el mes de noviembre quise hacer una compra de una silla gamer por internet, seguí todos los pasos , hasta se realizó el pago , pero la compra arrojo error y nunca se realizó descontandome el dinero de la tarjeta cuenta rut, he llamado mas de 10 veces les mande el estado de cuenta para q vieran que me descontaron el dinero y cada vez que llamo me dan una fecha distinta de la devolución del dinero, y se suponia que mi compra era un regalo de navidad ya estamos en el mes de enero y aun no me devuelven la plata!;Falabella
 Hoy solicité servicio de grúa a las 10:55 am me quedé en panne en la vía publica, me.dicen que me contactarán entre 20 y 40 min para coordinar, sin embargo me.comentan que no tienen grúa disponible, que deberán ¿buscar?.. ok ¿que pasaría si quedo en panne en la noche en un lugar peligroso? sentí temor, call center NO atiende mis llamados posteriores y llegué a mi casa con el vehículo remolcado, claramente el seguro NO respondió y no cumple el objetivo, una vergüenza, me parece que fin de semana la asistencia opera al 50% o menos ¿será eso?;Falabella
